Date Time,Stock,Exchange,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
2013. 12,1948.2,1055.3,97.574,85.7,81.6,63.6,12317.0,4597.0,1894.0,3157.0,2.5,6.1,SO
2014. 01,1937.7,1079.2,98.11399999999999,86.0,82.6,64.3,4111.0,777.0,1717.0,2905.0,2.5,6.0,SO
2014. 02,1952.4,1067.7,98.31299999999999,86.3,83.3,64.7,3001.0,714.0,1704.0,2734.0,2.49,6.0,SO
2014. 03,1991.2,1068.8,98.538,86.6,83.9,64.9,4259.0,1686.0,2879.0,2259.0,2.48,5.9,SO
2014. 04,1994.1,1031.7,98.727,86.6,84.1,65.0,5989.0,1070.0,3509.0,2185.0,2.49,5.9,SO
2014. 05,1995.1,1021.6,98.881,86.6,84.1,65.1,7802.0,1691.0,3603.0,2241.0,2.49,5.8,SO
2014. 06,2022.0,1014.4,98.78200000000001,86.5,84.1,65.1,10190.0,1971.0,1712.0,2601.0,2.48,5.8,SO
2014. 07,2060.9,1024.3,98.98899999999999,86.5,84.2,65.3,4375.0,1510.0,2302.0,2492.0,2.49,5.8,SO
2014. 08,2042.7,1013.6,99.23200000000001,86.6,84.4,65.4,2665.0,2437.0,3690.0,2362.0,2.34,5.8,SO
2014. 09,1942.8,1050.6,99.133,86.9,84.8,65.4,5539.0,1625.0,652.0,1797.0,2.24,5.8,SO
2014. 10,1959.7,1054.0,98.845,87.3,85.3,65.5,6562.0,2887.0,4150.0,1724.0,2.07,5.7,SO
2014. 11,1941.9,1101.1,98.727,87.4,85.6,65.7,7315.0,1917.0,1467.0,1522.0,1.98,5.6,SO
2014. 12,1921.0,1099.2,98.845,87.4,85.9,65.9,3441.0,1370.0,1774.0,1356.0,1.99,5.5,SO
2015. 01,1961.0,1090.8,99.49,87.5,86.2,66.2,3646.0,1268.0,2297.0,1497.0,1.99,5.5,SO
2015. 02,2012.6,1099.2,99.56,87.8,86.8,66.4,4541.0,751.0,1113.0,1238.0,1.99,5.4,SO
2015. 03,2107.3,1105.0,99.47,88.3,87.6,66.6,7960.0,1750.0,1081.0,1064.0,1.83,5.3,SO
2015. 04,2114.9,1068.1,99.63,88.9,88.7,66.9,5690.0,1311.0,3185.0,987.0,1.73,5.3,SO
2015. 05,2063.7,1108.0,99.82,89.5,89.5,67.1,4599.0,2050.0,1457.0,976.0,1.74,5.2,SO
2015. 06,2058.0,1124.1,99.83,90.1,90.3,67.3,9916.0,2191.0,1415.0,638.0,1.57,5.1,SO
2015. 07,1952.6,1166.3,100.26,90.6,91.0,69.4,15593.0,2467.0,2346.0,482.0,1.48,5.1,SO
2015. 08,1939.6,1176.3,100.51,91.1,91.7,69.5,8472.0,3208.0,3464.0,317.0,1.49,5.0,SO
