Date Time,Stock,Exchange,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
1997. 03,694.3,897.1,3.5774095848922105,,,,,,,,-1.4600000000000009,,SO
1997. 04,713.1,892.1,3.2631392673863058,,,,,,,,-1.3800000000000008,,SO
1997. 05,765.2,891.8,3.445839735777745,,,,,,,,-0.0600000000000005,,SO
1997. 06,752.3,888.1,3.2395851643522544,,,,,,,,-0.20000000000000107,,SO
1997. 07,740.5,892.0,3.1392413938161834,,,,,,,,-0.05000000000000071,,SO
1997. 08,676.5,902.0,3.70357399268042,,,,,,,,-0.5,,SO
1997. 09,584.1,914.8,4.0815255423373165,,,,,,,,0.25,,SO
1997. 10,494.1,965.1,4.272681107394893,,,,,,,,1.1900000000000013,,SO
1997. 11,390.3,1163.8,4.1680490317624,,,,,,,,2.9000000000000004,,SO
1997. 12,475.2,1415.2,5.938477580813339,,,,,,,,10.139999999999999,,SO
1998. 01,525.2,1572.9,7.871634465834854,,,,,,,,13.18,,SO
1998. 02,523.0,1640.1,8.859953902783024,,,,,,,,10.280000000000001,,SO
1998. 03,444.2,1378.8,8.457003804366447,,,,,,,,8.98,,SO
1998. 04,356.3,1338.2,8.427522622502991,,,,,,,,7.140000000000001,,SO
1998. 05,313.3,1410.8,7.757138235744798,,,,,,,,-3.129999999999999,,SO
1998. 06,327.8,1385.2,7.27869075336065,,,,,,,,-9.379999999999999,,SO
1998. 07,312.8,1236.0,6.592144811049949,,,,,,,,-10.860000000000001,,SO
1998. 08,312.2,1331.8,6.471349570537721,,,,,,,,-13.090000000000002,,SO
1998. 09,358.8,1373.6,6.740893747795873,,,,,,,,-12.8,,SO
1998. 10,429.2,1313.8,6.817419873943931,,,,,,,,-11.18,,SO
1998. 11,524.7,1243.7,4.27186377282347,,,,,,,,-9.01,,SO
1998. 12,597.6,1207.8,1.565178385479249,,,,,,,,-5.71,,SO
1999. 01,533.0,1175.3,0.08532288391349674,,,,,,,,-3.1799999999999997,,SO
1999. 02,586.2,1222.4,0.42977452637900093,,,,,,,,-2.7799999999999994,,SO
1999. 03,721.1,1224.7,0.3416999968506973,,,,,,,,-2.2399999999999993,,SO
1999. 04,745.4,1176.4,0.8563889459463958,,,,,,,,-2.42,,SO
1999. 05,841.4,1186.3,0.8601843931185016,,,,,,,,-2.16,,SO
1999. 06,971.4,1155.9,0.34375693058328327,,,,,,,,-1.54,,SO
1999. 07,933.1,1206.9,-0.25575043809102915,,,,,,,,-0.8100000000000005,,SO
1999. 08,926.9,1184.9,0.5113198344896874,,,,,,,,-0.28000000000000025,,SO
1999. 09,828.6,1218.7,0.4252781570233788,,,,-11.521773089326432,,,,-0.08000000000000007,,SO
1999. 10,950.1,1200.5,1.5355327952675246,,,,-12.074398675187602,,,,-0.04999999999999982,,SO
1999. 11,984.5,1157.5,1.711410454588469,,,,-11.324984466068551,,,,-0.05999999999999961,,SO
1999. 12,952.5,1145.4,1.6276463066163371,,,,-9.470794803091604,,,,-0.07000000000000028,,SO
2000. 01,902.7,1122.1,1.817152027186486,,,,-9.950952700935973,,,,0.019999999999999574,,SO
2000. 02,878.4,1131.8,1.9694615758831358,,,,-10.035471908185327,,,,0.2599999999999998,,SO
2000. 03,779.8,1108.3,2.2073913928968514,,,,-10.53767140041555,,,,0.34999999999999964,,SO
2000. 04,720.8,1110.3,2.0559455936170146,,,,-9.660764803625801,,,,0.34999999999999964,,SO
2000. 05,795.1,1133.8,2.1675638981418777,,,,-8.913887756450446,,,,0.3600000000000003,,SO
2000. 06,794.1,1114.8,3.0515503078456963,,,,-8.933709334135568,,,,0.3700000000000001,,SO
2000. 07,720.4,1116.2,2.2211439125943144,,,,-8.631311344971364,,,,0.16000000000000014,,SO
2000. 08,622.9,1108.8,2.456480295027652,,,,-8.067585675606527,,,,0.07000000000000028,,SO
2000. 09,548.1,1115.0,2.711622790027435,,,,-6.7714130676211015,,,,0.0600000000000005,,SO
2000. 10,544.1,1136.7,2.6952840283485546,,,,-5.3396608682694495,,,,0.23000000000000043,,SO
2000. 11,526.4,1195.3,2.5647000341753046,,,,-4.686658813010827,,,,0.2400000000000002,,SO
2000. 12,585.0,1259.7,2.325545460164413,,,,-4.189692217289476,,,,0.22999999999999954,,SO
2001. 01,593.4,1265.5,3.0194835174982115,,,,-3.7644004464775223,,,,0.15000000000000036,,SO
2001. 02,543.9,1245.7,3.008890251379537,,,,-3.5444602204834212,,,,-0.03000000000000025,,SO
2001. 03,530.3,1328.0,4.430730401058813,,,,-2.7032324635268914,,,,-0.33000000000000007,,SO
2001. 04,600.7,1324.7,5.35879844242535,,,,-1.7096164173271515,,,,-0.3700000000000001,,SO
2001. 05,602.9,1292.9,4.7228493756623635,,,,-0.7803808554486846,,,,-0.3700000000000001,,SO
2001. 06,554.1,1300.7,4.809738917387629,,,,0.3418375867721193,,,,-0.3000000000000007,,SO
2001. 07,567.7,1301.4,4.493182442119381,,,,1.556662439937808,,,,-0.3200000000000003,,SO
2001. 08,504.0,1283.8,3.8499253247243237,,,,2.1693870493402647,,,,-0.4300000000000006,,SO
2001. 09,523.3,1309.1,3.9534286706633726,,,,3.0415364674855834,,,,-0.6799999999999997,,SO
2001. 10,604.9,1296.1,4.45891707686481,,,,4.340563382657665,,,,-1.0,,SO
2001. 11,666.0,1274.0,3.6559399586233887,,,,5.258698861032464,,,,-0.9899999999999993,,SO
2001. 12,739.0,1326.1,2.836868837765172,,,,9.43122025006115,,,,-0.7999999999999998,,SO
2002. 01,774.4,1314.8,3.0177224231061173,,,,11.360573335620076,,,,-0.6099999999999994,,SO
2002. 02,864.7,1327.7,2.4094787567974008,,,,12.430779957995123,,,,-0.3100000000000005,,SO
2002. 03,894.0,1326.4,2.5915170714537306,,,,15.541974791451697,,,,0.010000000000000675,,SO
2002. 04,842.2,1292.2,3.1664320075091013,,,,18.057253713382796,,,,0.0,,SO
2002. 05,784.3,1233.3,3.250737807906967,,,,19.226092506319006,,,,0.25,,SO
2002. 06,753.7,1201.8,3.054939280709945,,,,20.252691657786787,,,,0.3199999999999994,,SO
2002. 07,713.2,1197.0,2.2806839146414015,,,,20.14184939537159,,,,0.27000000000000046,,SO
2002. 08,703.0,1200.5,2.851581225758637,,,,18.74133600245169,,,,0.27999999999999936,,SO
2002. 09,642.2,1225.5,3.226087082602347,,,,20.20702274280027,,,,0.2999999999999998,,SO
2002. 10,679.7,1233.4,3.528451968182744,,,,22.077386813168278,,,,0.07000000000000028,,SO
2002. 11,699.8,1208.0,3.4210258719621134,,,,23.561467977608647,,,,0.0,,SO
2002. 12,631.0,1200.4,3.3092111915182354,,,,24.001982720082776,,,,0.040000000000000036,,SO
2003. 01,591.6,1170.5,3.3917573245840993,,,,23.470605865500055,,,,-0.009999999999999787,,SO
2003. 02,550.8,1186.8,3.275149747680506,,,,23.7076719346141,,,,-0.009999999999999787,,SO
2003. 03,585.9,1252.9,4.000398049557163,,,,23.56638372887456,,,,-0.08000000000000007,,SO
2003. 04,613.5,1213.1,3.51770881974216,,,,23.029615405161486,,,,-0.04999999999999982,,SO
2003. 05,663.2,1206.6,3.6144748955456274,,,,21.208884565317025,,,,-0.2400000000000002,,SO
2003. 06,703.5,1193.1,3.7182746523882093,,,,27.839281587300697,,,,-0.2699999999999996,,SO
2003. 07,731.7,1180.0,2.956131182734967,,,,27.425565617856854,,,,-0.4700000000000002,,SO
2003. 08,742.3,1179.9,2.849959266230284,,,,26.480314221208808,,,,-0.48,,SO
2003. 09,756.5,1150.2,3.958403692446244,,,,26.05391244204649,,,,-0.5,,SO
2003. 10,789.1,1177.3,3.8612804449813076,,,,25.86378386889081,,,,-0.31999999999999984,,SO
2003. 11,801.2,1202.6,3.384972456027535,,,,25.2131604029544,,,,-0.23000000000000043,,SO
2003. 12,845.5,1197.8,3.368174922406708,,,,26.906398855128167,,,,-0.06000000000000005,,SO
2004. 01,867.5,1173.6,3.4412114836244845,,,,25.919918576895068,,,,0.029999999999999805,,SO
2004. 02,875.6,1174.5,2.594420219527871,,,,24.484994925113796,,,,0.020000000000000018,,SO
2004. 03,907.1,1153.6,3.578604918189665,,,,24.454073263925007,,,,0.0,,SO
