Date Time,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
2018. 07,0.8991588513970639,1.598401598401611,-3.9195979899497524,75.6,11.234767186154373,9.612681414245962,11.54657055512621,-6.017382129062581,0.06000000000000005,0.0,GG
2018. 08,-0.06714628297361802,1.1964107676969205,-3.7373737373737392,75.3,9.066007437938488,8.465802778773035,12.561358874929612,-6.036131471559002,0.020000000000000018,0.0,GG
2018. 09,0.5473401190704719,0.7960199004975133,-3.7487335359675855,74.8,8.57489985859043,8.434153429674744,13.655042550329753,-6.124599242949883,0.020000000000000018,0.0,GG
2018. 10,0.2493048230894468,0.3976143141153132,-3.8657171922685585,74.4,7.874631260046845,8.122114291527879,14.079519989422256,-6.2691936868624145,0.28,0.0,GG
2018. 11,0.46934865900383205,-0.09940357852882276,-3.9877300613496813,74.2,6.801784854955645,7.78815504863516,15.00839152230558,-6.469247350974717,0.26,0.0,GG
2018. 12,0.9596008060646755,-0.497017892644136,-3.9054470709146916,73.9,9.218670044720916,6.8792326304568,15.113202342604811,-6.701338726537215,0.21999999999999997,0.0,GG
2019. 01,0.980674935102388,-0.6965174129353269,-3.7190082644628086,71.9,8.864405516679614,5.479159202197536,15.75176960586517,-6.813106651710057,0.24,0.0,GG
2019. 02,-0.2381859756097615,-0.8955223880597107,-3.6307053941908696,71.8,7.281826538355209,3.915212477496005,16.203566795924832,-6.982882251402572,0.24,0.0,GG
2019. 03,-0.7188800605372747,-1.3861386138613874,-3.53430353430354,71.7,6.870751882521979,2.22865382999146,16.957413195275578,-6.989981517008013,-0.020000000000000018,0.0,GG
2019. 04,-0.2844950213371278,-1.7733990147783207,-3.3264033264033266,71.6,7.035883104457641,2.179890388417795,17.198312120859804,-7.1086059978510665,0.0,0.0,GG
2019. 05,0.7254677357769967,-1.7699115044247704,-2.7083333333333237,71.6,6.966448503823061,1.0556351765595737,17.731940901433234,-7.232266709850117,-0.13000000000000012,0.0,GG
2019. 06,0.5653507090839449,-1.4749262536873142,-1.882845188284521,71.6,6.465054316973582,0.24318466322526733,18.65774853701183,-7.249317082799937,-0.25,0.09999999999999964,GG
2019. 07,0.9886734497984051,,,71.5,4.596944051640086,-0.7244648805021456,18.134332747454156,-7.231659935012045,-0.22999999999999998,0.0,GG
2019. 08,,,,71.5,2.488968802296223,-1.4195783625498208,17.218099790952834,-7.153871400771229,-0.3899999999999999,0.0,GG
2019. 09,,,,71.5,2.706857852099012,-1.905806140548768,16.417273632929597,-7.037006566958583,-0.48,,GG
2019. 10,,,,71.7,2.4978526905929033,-1.8474306744341402,14.910985120492771,-6.94920624788958,-0.34999999999999987,,GG
2019. 11,,,,71.8,2.260247643079061,,,,,,GG
1990. 07,6.107142857142844,,,,,,,,,,GW
1990. 08,7.400466011549001,,,,,,,,,,GW
1990. 09,7.834240016044514,,,,,,,,,,GW
1990. 10,9.074874546628898,,,,,,,,,,GW
1990. 11,8.889709502708044,,,,,,,,,,GW
1990. 12,8.673005577258541,,,,,,,,,,GW
1991. 01,9.171764821503148,,,,,,,,,,GW
1991. 02,8.647086201406061,,,,,,,,,,GW
1991. 03,8.990405688404035,,,,,,,,,,GW
1991. 04,9.634116791858482,,,,,,,,5.35,,GW
1991. 05,9.813784764207977,,,,,,,,4.1999999999999975,,GW
1991. 06,9.95335865749869,,,,,,,,4.33,,GW
1991. 07,8.512946281186618,,,,,,,,4.329999999999998,,GW
1991. 08,8.01831961686894,,,,,,,,2.580000000000002,,GW
1991. 09,6.470494454187281,,,,,,,,-1.1400000000000006,,GW
1991. 10,6.606226402297022,,,,,,,,-1.139999999999997,,GW
1991. 11,6.974746218715389,,,,,,,,-4.140000000000001,,GW
1991. 12,7.0329027321420545,,,,,,,,-5.109999999999998,,GW
1992. 01,7.318557932947023,,,,,,,,-3.8200000000000003,,GW
1992. 02,7.4355422494302825,,,,,,,,-2.99,,GW
1992. 03,6.6348406488971445,,,,,,,,-2.530000000000001,,GW
1992. 04,5.897639182522907,,,,,,,,-0.13000000000000078,,GW
1992. 05,4.788559933528669,,,,,,,,0.4299999999999997,,GW
1992. 06,3.7052329624478464,,,,,,,,-0.02000000000000135,,GW
1992. 07,3.2326797666960783,,,,,,,,-0.07000000000000028,,GW
1992. 08,3.123128262171626,,,,,,,,-2.960000000000001,,GW
1992. 09,2.754861832757194,,,,,,,,-1.6599999999999984,,GW
1992. 10,4.459379491081239,,,,,,,,-1.3800000000000008,,GW
1992. 11,4.268382430244544,,,,,,,,-2.5199999999999996,,GW
1992. 12,4.519002500052527,,,,,,,,-3.67,,GW
1993. 01,3.7141787630495138,,,,,,,,-0.9599999999999991,,GW
1993. 02,3.1980600232133893,,,,,,,,-2.4700000000000006,,GW
