MM,Completed,p_corr
8,32,-0.4827085158728356
8,33,-0.489207353725499
8,34,-0.49563795934734317
8,35,-0.5006703986260973
8,36,-0.5047965096577137
8,37,-0.5076812965264442
8,38,-0.5093145193492444
8,39,-0.510871209004864
8,40,-0.5136239286004042
8,41,-0.5161609803857246
9,5,-0.42117187153709207
9,6,-0.4478598259031426
9,7,-0.47443019862837427
9,8,-0.49489449167390814
9,9,-0.5102400221273908
9,10,-0.5201866134673947
9,11,-0.5264677626407707
9,12,-0.528949687537143
9,13,-0.5274235830944871
9,14,-0.5216055192233027
9,15,-0.5134984533877774
9,16,-0.5062757829205644
9,17,-0.5002329702920147
9,18,-0.49276457245820715
9,19,-0.48401371050381076
9,20,-0.4744899404148103
9,21,-0.46487240605488594
9,22,-0.45695902449320547
9,23,-0.45063086438417765
9,24,-0.44803618629841147
9,25,-0.44504853155771373
9,26,-0.4437418834856847
9,27,-0.4446993378415114
9,28,-0.45071660906476363
9,29,-0.4597345460201212
9,30,-0.46878890837174897
9,31,-0.47610188955408156
9,32,-0.48220918452997913
9,33,-0.4880340165526469
9,34,-0.49382176132186856
9,35,-0.4993615877447496
9,36,-0.503613472530599
9,37,-0.5059408948142876
9,38,-0.5071719657076289
9,39,-0.5090654647907789
9,40,-0.5118837611413874
9,41,-0.5144738236338405
10,5,-0.4191798708997531
10,6,-0.44613668303804976
10,7,-0.4725854070681531
10,8,-0.4928508494663941
10,9,-0.5081886815925917
10,10,-0.5197693648143794
10,11,-0.5271766789425513
10,12,-0.5308092531316215
10,13,-0.5311228547806124
10,14,-0.5279645134442911
10,15,-0.5221015957095703
10,16,-0.5143296021536398
10,17,-0.5094393131446617
10,18,-0.5032581932181409
10,19,-0.49564172873346324
10,20,-0.4860973850907202
10,21,-0.475852158680205
10,22,-0.46609558150027836
10,23,-0.4589068334223972
10,24,-0.4538199704628564
10,25,-0.4504817260618198
10,26,-0.44830628796629507
10,27,-0.44794492480059295
10,28,-0.45118821714760393
10,29,-0.45886301066233487
10,30,-0.4681530192923519
10,31,-0.47528825511879974
10,32,-0.4818554630796463
10,33,-0.4875547369464172
10,34,-0.4932700710032833
10,35,-0.49974335811577114
10,36,-0.5056692687689016
10,37,-0.5092004689296518
10,38,-0.5114960461482392
10,39,-0.5130061333412472
10,40,-0.5153756061213994
10,41,-0.518058684097168
11,5,-0.42938089501662546
11,6,-0.45542950299434637
11,7,-0.4791456806761642
11,8,-0.4974089029446769
11,9,-0.5112663118077805
11,10,-0.5217355318675037
11,11,-0.5283902674188052
11,12,-0.5303361198286458
11,13,-0.5301586882597852
11,14,-0.5261525429331666
11,15,-0.5199873795471975
11,16,-0.5126358890168278
11,17,-0.5068725449718777
11,18,-0.49985065787815414
11,19,-0.49088732480828107
11,20,-0.4803192943969114
11,21,-0.47004039444351
11,22,-0.46074376414487306
11,23,-0.45436306742007937
11,24,-0.4494510499529029
11,25,-0.44612595512577424
11,26,-0.4448197710082458
11,27,-0.44607296116169914
11,28,-0.45074672226227397
11,29,-0.45874997844381676
11,30,-0.46677778925725577
11,31,-0.4731110578799528
11,32,-0.478966632317175
11,33,-0.4841694048296361
11,34,-0.49023516985572513
11,35,-0.49665818996844946
11,36,-0.5018278166100212
11,37,-0.5048825151807688
11,38,-0.5073933961631204
11,39,-0.5091731252364746
11,40,-0.5116548909835208
11,41,-0.514276566067434
12,5,-0.4279043330895654
12,6,-0.45449643351519026
12,7,-0.4780610668652181
12,8,-0.49660403697608174
12,9,-0.5106295684967069
12,10,-0.5213690836878971
12,11,-0.5295307518168932
12,12,-0.5326952062867566
12,13,-0.5337224960871167
12,14,-0.5314905498725038
12,15,-0.5276274822005295
12,16,-0.5218485884681037
12,17,-0.5156563702011874
12,18,-0.5099091208900112
12,19,-0.5020103368013619
12,20,-0.4921874971278081
12,21,-0.481510106551422
12,22,-0.47118149405440335
12,23,-0.46261822646708634
12,24,-0.45664360170957113
12,25,-0.450907096665434
12,26,-0.4490480075557505
12,27,-0.44931069994355
12,28,-0.452560984085761
12,29,-0.4579967142008362
12,30,-0.4650313566916241
12,31,-0.4717769049843681
12,32,-0.4777027300920707
12,33,-0.4833804117216269
12,34,-0.48941674564070786
12,35,-0.4957862300395197
12,36,-0.5018783850887129
12,37,-0.5064124463053938
12,38,-0.5100118087560167
12,39,-0.5126218696092752
12,40,-0.5148596626620714
12,41,-0.5171770648069371
13,4,-0.40673253680412214
13,5,-0.4368478387367969
13,6,-0.46150428952382444
13,7,-0.48314124574640605
13,8,-0.5003358109271088
